bor;an;fi;rs;rscom;fi_ej;grp;stj;stjr;cat;catr;espic;mft;ccr;nat;sir;reg;dep;reg_diff;dep_diff;TSANT;COMINSEE;NOMCOM;ARMT;CHLEJ0;FIPRE;ETAT_SAISIE;FINRAT;VAGUE;PROVENANCE;NUMVOI;TYPVOI;NOMVOI;BP;CPO;LIBCOM;COMPD;FILIALE0;SIRTET;RSTET;FIAUT1;RSAUT1;FIAUT2;RSAUT2;FIAUT3;RSAUT3;FIAUT4;RSAUT4;FIAUT5;RSAUT5;FIAUT6;RSAUT6;FIAUT7;RSAUT7;DADS_C1;DADS_C2;DADS_C3;DADS_C4;DADS_D1;MODEJ;TYPMD1;TYPMD2;TYPMD3;FIFU1;FIFU2;FIFU3;SCFU1;SCFU2;SCFU3;VAL;RESPREG
ID;2017;010000024;CH FLEYRIAT;;010780054;04;13;1;355;PUB2;1;0;;0;26010004500012;84;01;84;01;82S0000003;01053;BOURG-EN-BRESSE;;0;;8;010780054;1;1;900;RTE;DE PARIS;BP 401 VIRIAT;01012;BOURG EN BRESSE CEDEX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2017;010000032;CH DOCTEUR RECAMIER BELLEY;;010780062;04;13;1;355;PUB2;1;0;;0;26010003700019;84;01;84;01;82S0000002;01034;BELLEY;;0;;6;010780062;1;1;52;Rue;GEORGES GIRERD;BP 139;01300;BELLEY;;;;;;;;;;;;;;;;;;;260100037;;;;;0;;;;;;;;;;P;184
ID;2017;010000065;CH MONTPENSIER TREVOUX;;010780096;04;13;1;355;PUB2;1;0;;0;26010028400017;84;01;84;01;82S0000003;01427;TREVOUX;;0;;6;010780096;1;;14;R;DE L'HOPITAL;BP 615;01606;TREVOUX CEDEX;;;;;;;;;;;;;;;;;;;;26010028400017;;;0;0;;;;;;;;;;P;184
ID;2017;010000081;CH DU PAYS DE GEX;;010780112;04;13;1;106;PUB2;1;0;;0;26010010200011;84;01;84;01;82S0000002;01173;GEX;;0;;6;010780112;1;1;160;R;MARC PANISSOD;BP 437;01174;GEX CEDEX;;;;;;;;;;;;;;;;;;;;26010010200011;;;0;0;;;;;;;;;;P;184
ID;2017;010000099;CH DE MEXIMIEUX;;010780120;04;13;1;106;PUB2;1;0;;0;26010013600019;84;01;84;01;82S0000003;01244;MEXIMIEUX;;0;;6;010780120;1;1;13;AV;DU DOCTEUR BOYER;;01800;MEXIMIEUX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
ID;2017;010000107;CH DE PONT DE VAUX;;010780138;04;13;1;106;PUB2;1;0;;0;26010020100052;84;01;84;01;82S0000003;01305;PONT-DE-VAUX;;0;;6;010780138;1;1;;CHE;DES NIVRES;BP 55;01190;PONT DE VAUX;;;;;;;;;;;;;;;;;;;260100201;26010020100052;;;0;0;;;;;;;;;;P;184
ID;2017;010000115;CHI AIN VAL DE SAONE SITE PONT VEYLE;;010009132;04;14;1;355;PUB2;1;0;;0;20003004700019;84;01;84;01;82S0000003;01306;PONT-DE-VEYLE;;0;;6;010009132;2;1;;R;PIERRE GOUJON;BP 68;01290;PONT DE VEYLE;;;;;;;;;;;;;;;;;;;;20003004700019;;;0;0;;;;;;;;;;P;184
ID;2017;010000131;CHI AIN VAL DE SAONE SITE THOISSEY;;010009132;04;14;1;355;PUB2;1;0;;0;20003004700076;84;01;84;01;82S0000003;01420;THOISSEY;;0;;6;010009132;2;1;11;R;DE L HOPITAL;;01140;THOISSEY;;;;;;;;;;;;;;;;;;;;20003004700076;;;0;0;;;;;;;;;;P;184
ID;2017;010000180;CH PUBLIC HAUTEVILLE UNITE ESPÉRANCE;;010007987;04;11;1;355;PUB2;1;0;;0;26011019200044;84;01;84;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;010007987;2;1;;;rue des Narcisses;BP 41;01110;HAUTEVILLE LOMPNES;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;P;184
ID;2017;010000198;CH PUBLIC HAUTEVILLE UNITÉ INTERDÉPT.;;010007987;04;11;1;355;PUB2;1;0;;0;26011019200051;84;01;84;01;82S0000003;01185;HAUTEVILLE-LOMPNES;;0;;6;010007987;2;1;;;rue des Narcisses;BP 41;01110;HAUTEVILLE LOMPNES;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;P;184
